Hotel Name,City,Distance from Centre (in km),Review (in words),Number of Reviews,Rating (out of 10),Level of sustainability,Type of Room,Type of Bed,Type of Cancellation,Cost,Taxes and charges,Type of Payment
FabExpress Golden Gate,Hyderabad,6.5,Good ,82,7.9,1,Deluxe Room,1 double bed,Free cancellation,1489.0,179.0,prepayment
Collection O Orange Tree Hotels Near DLF,Hyderabad,9.3,No Review,0,0.0,0,Classic Triple Room,1 large double bed,Free cancellation,2392.0,303.0,No prepayment needed
Collection O 81504 Hotel Pride,Hyderabad,3.5,No Review,0,0.0,0,Classic Triple Room,1 large double bed,Free cancellation,1476.0,193.0,No prepayment needed
ibis Hyderabad Hitec City - An Accor Brand,Hyderabad,7.2,Good ,1763,7.2,3,Standard Queen Room,1 double bed,Free cancellation,4000.0,480.0,No prepayment needed
Avana- A Boutique Hotel,Hyderabad,11.6,Good ,164,7.3,3,Economy Double Room,1 extra-large double bed,Not Free,4050.0,486.0,prepayment
Slackpackr Hyderabad,Hyderabad,4.3,Very good ,591,8.5,2,Bed in 4-Bed Mixed Dormitory Room,Bed in dormitory1 bunk bed,Free cancellation,491.0,59.0,No prepayment needed
"Holiday Inn Express Hyderabad HITEC City, an IHG Hotel",Hyderabad,7.7,Review score ,1390,6.6,3,Superior Double or Twin Room,1 double bed,Not Free,5004.0,600.0,prepayment
"Holiday Inn Express Hyderabad Banjara Hills, an IHG Hotel",Hyderabad,1.7,Review score ,1850,6.3,2,Standard Queen Room - Accessible,1 large double bed,Not Free,4770.0,572.0,prepayment
"Mercure Hyderabad KCP Banjara Hills, An Accor Hotel",Hyderabad,2.0,Good ,804,7.8,3,"Superior Superior Room with two single  beds,City View ",2 single beds,Free cancellation,6000.0,720.0,No prepayment needed
Hotel Anupama Enclave- Lakdikapul,Hyderabad,3.0,No Review,0,0.0,0,Deluxe Double Room,1 double bed,Free cancellation,1215.0,146.0,prepayment
The Golkonda Hotel,Hyderabad,2.1,Good ,547,7.4,1,Premium Twin Room ,2 single beds,Free cancellation,5500.0,660.0,prepayment
Aditya Park-A Sarovar Portico Hotel,Hyderabad,2.4,Review score ,360,6.7,1,"Superior Room (1+1 on IMFL, 2Pcs Laundry Free)", 2 Single Beds,Free cancellation,4680.0,562.0,No prepayment needed
Novotel Hyderabad Convention Centre,Hyderabad,9.4,Good ,1474,7.8,3,Superior 1 Queen Bed with 20% Discount on Food and Soft Beverages and Travel Desk,1 large double bed,Free cancellation,7500.0,900.0,No prepayment needed
Hotel Elite By Signature Group,Hyderabad,17.5,Review score ,258,4.6,3,Economy Double Room,1 large double bed,Free cancellation,1599.0,192.0,No prepayment needed
HOTEL VIRAT INN,Hyderabad,2.1,Superb ,6,9.3,1,Double Room,1 large double bed,Free cancellation,1913.0,229.0,No prepayment needed
HOTEL CAPITAL HEIGHTS NEAR AIRPORT zone SHAMSHABAD HYDERABAD,Hyderabad,18.0,Review score ,27,6.7,3,Budget Double or Twin Room,2 single beds,Free cancellation,891.0,107.0,No prepayment needed
Aditya Hometel,Hyderabad,2.6,Review score ,275,5.5,2,Standard Room,1 Single Bed,Free cancellation,2970.0,356.0,No prepayment needed
Apsara Hotel Near Nampally Station,Hyderabad,4.7,Review score ,16,6.6,3,Standard Double Room,1 double bed,Free cancellation,660.0,79.0,prepayment
POP Azeem Apartments Near Birla Mandir,Hyderabad,3.3,No Review,0,0.0,0,Classic Triple Room,1 large double bed,Free cancellation,1003.0,136.0,No prepayment needed
OYO Flagship Hotel Hills Land,Hyderabad,5.7,Fabulous ,7,8.7,1,Classic Triple Room,1 large double bed,Free cancellation,1036.0,140.0,No prepayment needed
M Square Hotel,Hyderabad,8.1,Review score ,514,6.6,3,Deluxe Double Room,1 double bed,Free cancellation,2100.0,252.0,prepayment
Fairfield by Marriott Hyderabad Gachibowli,Hyderabad,9.7,Good ,1284,7.4,2," Superior Room, 1 Queen bed, City View",1 large double bed,Free cancellation,6580.0,790.0,No prepayment needed
Hotel Chronic International - Birla Mandir,Hyderabad,3.5,No Review,0,0.0,0,Deluxe Double Room,1 double bed,Free cancellation,1350.0,162.0,prepayment
"Lemon Tree Hotel, Gachibowli, Hyderabad",Hyderabad,11.4,Review score ,179,6.5,2,Business Double or Twin Room,1 single bed,Free cancellation,5760.0,1370.0,prepayment
Radisson Hyderabad Hitec City,Hyderabad,8.7,Review score ,802,5.9,2,Premium Double Room,Beds: 1 double or 2 singles,Free cancellation,10240.0,1843.0,No prepayment needed
The Manohar Hyderabad,Hyderabad,4.8,Review score ,443,4.2,1,Standard Room,Beds: 1 double or 2 singles,Free cancellation,4088.0,490.0,prepayment
GSR Grand Luxury Rooms,Hyderabad,6.5,Very good ,138,8.5,0,Deluxe Double Room,1 single bed,Not Free,1440.0,173.0,prepayment
OYO V Guest Inn Near Hyderabad Central,Hyderabad,2.7,Review score ,15,5.7,0,Standard Double Room,1 extra-large double bed,Free cancellation,2015.0,0.0,No prepayment needed
Greenpark Hyderabad,Hyderabad,2.8,Good ,379,7.7,2,Deluxe Double or Twin Room,2 single beds,Free cancellation,6000.0,720.0,prepayment
Citadel Hotel By Vinnca,Hyderabad,14.0,Review score ,19,6.4,0,Standard Double Room,1 extra-large double bed,Free cancellation,7650.0,918.0,prepayment
Novotel Hyderabad Airport,Hyderabad,19.4,Good ,1024,7.0,2,Superior Twin Room,2 double beds,Not Free,10800.0,1944.0,prepayment
OYO Flagship Hotel Lavish Stay,Hyderabad,11.2,Very good ,6,8.3,0,Classic Triple Room,1 large double bed,Free cancellation,784.0,110.0,No prepayment needed
"Hotel White Fields Hitec City, Hyderabad",Hyderabad,8.6,Very good ,307,8.0,3,Deluxe Double Room with 10% Discount on Food and Beverages,1 large double bed,Free cancellation,2540.0,305.0,prepayment
Destino by Monday Hotels Gachibowli,Hyderabad,9.1,Review score ,7,3.9,0,Superior Double Room,1 extra-large double bed,Free cancellation,2308.0,277.0,prepayment
Townhouse 1250 Rcc Premier Sr Nagar,Hyderabad,3.5,Very good ,14,8.4,0,Classic Triple Room,1 large double bed,Free cancellation,1929.0,243.0,No prepayment needed
FabHotel Mansingh Begum Bazar Road,Hyderabad,5.7,Good ,275,7.3,1,Deluxe Room,1 double bed,Free cancellation,1280.0,154.0,prepayment
OYO Flagship Hotel Ragas Inn,Hyderabad,8.3,No Review,0,0.0,0,Classic Triple Room,1 large double bed,Free cancellation,986.0,134.0,No prepayment needed
Hotel SSR GRAND,Hyderabad,15.8,Superb ,6,9.0,2,Deluxe Twin Room,2 single beds,Not Free,1944.0,233.0,prepayment
Hotel Subrub central- Birla Mandir,Hyderabad,3.4,No Review,0,0.0,0,Deluxe Double Room,1 double bed,Free cancellation,1350.0,162.0,prepayment
FabExpress Broholic Suites I,Hyderabad,12.8,Very good ,142,8.2,1,Deluxe Room,1 double bed,Free cancellation,1320.0,158.0,prepayment
Itsy By Treebo - Infinity Hitech City,Hyderabad,7.6,Good ,106,7.1,0,Standard Double Room,Beds: 1 double or 2 singles,Free cancellation,1901.0,228.0,No prepayment needed
OYO Flagship Hotel Srh Pride,Hyderabad,7.5,Review score ,2,1.0,1,Standard Double Room,1 large double bed,Free cancellation,1049.0,142.0,No prepayment needed
Zostel Hyderabad,Hyderabad,5.4,Very good ,167,8.0,1,Bed in 8-Bed Mixed Dormitory Room,Bed in dormitory1 bunk bed,Not Free,699.0,84.0,prepayment
Townhouse 1065 Hotel S Continental Near Birla Mandir,Hyderabad,6.2,Review score ,27,5.3,1,Classic Triple Room,1 extra-large double bed,Free cancellation,1074.0,141.0,No prepayment needed
Courtyard by Marriott Hyderabad,Hyderabad,5.3,Very good ,827,8.5,2,Superior King Room,1 extra-large double bed,Free cancellation,8000.0,1440.0,No prepayment needed
OYO Townhouse OAK Oyo Hitec City Near Image Hospital,Hyderabad,6.2,Review score ,30,5.5,1,Deluxe Double Room,1 extra-large double bed,Free cancellation,1525.0,199.0,No prepayment needed
Hotel Lake View Airport zone,Hyderabad,18.3,Good ,106,7.2,2,Standard Double Room,2 single beds,Free cancellation,2100.0,252.0,No prepayment needed
Hotel Swagath Residency,Hyderabad,9.5,Review score ,15,4.4,0,Standard Double Room,1 double bed,Not Free,1990.0,239.0,prepayment
Bloom Hotel - Cyber Towers,Hyderabad,8.1,Good ,37,7.4,0,Standard King Room,1 extra-large double bed,Not Free,4050.0,486.0,prepayment
FabHotel GSR Grand,Hyderabad,6.5,Very good ,217,8.5,1,Deluxe Room,1 large double bed,Free cancellation,1452.0,174.0,prepayment
Iris at Nest,Hyderabad,6.6,Review score ,133,6.6,0,Deluxe King Room,1 double bed,Free cancellation,1350.0,162.0,prepayment
"The Park Hyderabad, Banjara Hills near Hussain Sagar Lake",Hyderabad,2.7,Review score ,2079,5.9,3,Luxury Double or Twin Room with 10% Discount on Food and soft Beverages,Beds: 1 double or 2 singles,Not Free,5610.0,673.0,prepayment
Hyderabad Marriott Hotel & Convention Centre,Hyderabad,5.3,Very good ,677,8.3,3,Deluxe Double Room,1 large double bed,Free cancellation,9500.0,1710.0,No prepayment needed
Collection O Sai Poojitha Suites,Hyderabad,12.8,Very good ,5,8.2,0,Classic Triple Room,1 large double bed,Free cancellation,2604.0,329.0,No prepayment needed
Hotel Axis Holiday's - Banjara Hills,Hyderabad,1.7,No Review,0,0.0,0,Double Room,1 double bed,Free cancellation,2754.0,330.0,No prepayment needed
The Urban Stays,Hyderabad,3.7,Review score ,112,6.5,3,Classic Room,1 double bed,Free cancellation,3150.0,378.0,No prepayment needed
Taj Deccan,Hyderabad,1.3,Very good ,1125,8.2,2,Superior Double Room,1 extra-large double bed,Free cancellation,8490.0,1528.0,prepayment
Hyatt Place Hyderabad Banjara Hills,Hyderabad,1.0,Good ,1247,7.9,2,Twin Room,2 single beds,Free cancellation,10000.0,1800.0,No prepayment needed
"Casa Hotel & Suites, Gachibowli, Hyderabad",Hyderabad,11.6,No Review,0,0.0,1,Deluxe Double Room,Multiple bed types,Free cancellation,2888.0,346.0,No prepayment needed
Tabla Pride Hotels & Spa,Hyderabad,0.9,Good ,70,7.1,0,Deluxe Single Room,1 single bed,Free cancellation,3500.0,420.0,No prepayment needed
Collection O Hotel Lavish Springs,Hyderabad,6.9,Review score ,4,5.3,0,Deluxe Double Room,1 large double bed,Free cancellation,650.0,94.0,No prepayment needed
OYO Hotel Aroma Classic Near Nampally Railway station,Hyderabad,5.6,Review score ,86,5.4,0,Classic Triple Room,1 extra-large double bed,Free cancellation,700.0,100.0,No prepayment needed
OYO Flagship Friends Luxury Rooms,Hyderabad,5.9,No Review,0,0.0,0,Classic Triple Room,1 large double bed,Free cancellation,956.0,131.0,No prepayment needed
Hotel Signature Airport Zone Shamshabad Hyderabad,Hyderabad,17.6,Review score ,464,5.9,3,Queen Room,1 extra-large double bed,Not Free,2400.0,288.0,prepayment
Hotel Silver Clé,Hyderabad,7.3,Very good ,41,8.5,0,Standard Double Room,1 large double bed,Free cancellation,2968.0,356.0,No prepayment needed
"Vivanta Hyderabad, Begumpet",Hyderabad,3.8,Very good ,1863,8.4,3,Superior Double Room,1 extra-large double bed,Free cancellation,9000.0,1620.0,prepayment
Treebo Trend Arastu Nampally,Hyderabad,4.0,Review score ,155,6.9,0,Standard Double Room,1 large double bed,Free cancellation,1795.0,215.0,No prepayment needed
Avasa Hotel,Hyderabad,7.0,Good ,381,7.8,1,Standard Double Room,1 double bed,Free cancellation,7200.0,864.0,prepayment
ABI RESIDENCY,Hyderabad,8.0,Very good ,1,8.0,0,Deluxe Room,1 double bed,Free cancellation,2500.0,300.0,No prepayment needed
Hotel Blue Dawn Suites Madhapur,Hyderabad,6.7,No Review,0,0.0,0,Double Room,1 double bed,Free cancellation,1598.0,192.0,No prepayment needed
Shepherd Stories - Community stay for Social Entrepreneurs,Hyderabad,2.8,Very good ,95,8.3,3,Bed in 4-Bed Female Dormitory Room,Bed in dormitory1 bunk bed,Free cancellation,621.0,75.0,prepayment
Mahim-Luxury apartment with Free Parking Wi-Fi AC,Hyderabad,7.6,Exceptional 10,3,0.0,0,Apartment,4 large double beds,Free cancellation,8010.0,1441.0,No prepayment needed
Collection O Gravity Hotel,Hyderabad,9.7,Review score ,1,1.0,0,Classic Triple Room,1 large double bed,Free cancellation,1501.0,196.0,No prepayment needed
Collection O Hotel V Square,Hyderabad,4.4,Review score ,8,2.5,0,Classic Triple Room,1 large double bed,Free cancellation,821.0,111.0,No prepayment needed
OYO 62329 Lucky Hotels Gachibowli,Hyderabad,8.7,Review score ,16,5.2,0,Standard Double Room,1 large double bed,Free cancellation,1297.0,168.0,No prepayment needed
Best Western Ashoka,Hyderabad,3.2,Good ,482,7.3,0,Premium Double or Twin Room,Beds: 1 double or 2 singles,Not Free,4500.0,540.0,prepayment
Mini Coop House,Hyderabad,15.5,No Review,0,0.0,0,Single Bed in Dormitory Room,Bed in dormitory1 large double bed,Not Free,2520.0,302.0,prepayment
Hotel Ranjit Residency,Hyderabad,7.4,Review score ,39,5.7,0,Budget Single Room,1 single bed,Free cancellation,1199.0,144.0,No prepayment needed
Hotel My Choice,Hyderabad,5.3,Review score ,1,1.0,0,Standard Double Room,1 large double bed,Free cancellation,899.0,108.0,No prepayment needed
"Hotel Deccan Serai Grande, Gachibowli, Hyderabad",Hyderabad,7.9,Very good ,293,8.5,1,Business Room,1 extra-large double bed,Free cancellation,6640.0,797.0,prepayment
"Park Hyatt Hotel and Residences, Hyderabad",Hyderabad,1.3,Very good ,633,8.0,3,Twin Room,2 single beds,Not Free,16740.0,3012.0,prepayment
Royalton Hyderabad Abids,Hyderabad,4.6,Review score ,236,5.6,3,Standard Double Room,2 single beds,Free cancellation,4800.0,576.0,prepayment
Treebo Trend De Alphabet Kondapur,Hyderabad,12.1,Good ,39,7.1,1,Standard Double Room,Beds: 1 double or 2 singles,Free cancellation,1948.0,234.0,No prepayment needed
Treebo Tryst Metropolis Hyderabad,Hyderabad,7.0,Good ,114,7.0,0,Superior Double Room,1 extra-large double bed,Free cancellation,3608.0,433.0,No prepayment needed
Townhouses OAK Whiteridge Banjarahills,Hyderabad,1.6,Review score ,9,5.0,1,Deluxe Double Room,2 extra-large double beds,Free cancellation,1985.0,250.0,No prepayment needed
Capital O Loya Legend Near Birla Mandir,Hyderabad,5.1,Review score ,1,2.0,0,Classic Triple Room,3 double beds,Free cancellation,1295.0,167.0,No prepayment needed
Hotel Sitara Grand L.B. Nagar,Hyderabad,14.4,Review score ,100,6.0,0,Deluxe Room,1 large double bed,Free cancellation,3400.0,408.0,No prepayment needed
Treebo Trend Lavish Palms,Hyderabad,7.5,Good ,60,7.3,0,Standard Double Room,Beds: 1 double or 2 singles,Free cancellation,1594.0,191.0,No prepayment needed
OYO Flagship Sri Navya Grand Near Nexus Hyderabad,Hyderabad,10.2,Review score ,15,3.1,0,Classic Triple Room,1 large double bed,Free cancellation,1071.0,145.0,No prepayment needed
Collection O Hotel Park Heights Banjara Hills Near Gvk One Mall,Hyderabad,0.6,Review score ,62,3.2,0,Comfort Triple Room with Shower,1 extra-large double bed,Free cancellation,1924.0,243.0,No prepayment needed
Daspalla Hyderabad,Hyderabad,4.8,Good ,138,7.2,1,Superior Double or Twin Room,Beds: 1 double or 2 singles,Free cancellation,6000.0,720.0,No prepayment needed
Udipi's Vihar,Hyderabad,9.7,Good ,27,7.0,0,Deluxe Double Room,1 large double bed,Free cancellation,2025.0,243.0,No prepayment needed
Radisson Blu Plaza Hotel Hyderabad Banjara Hills,Hyderabad,0.7,Good ,2751,7.9,2,Superior Double or Twin Room,Beds: 1 double or 2 singles,Free cancellation,8000.0,1440.0,prepayment
OYO Hotel Padmini Near Lakdikapool Metro Station,Hyderabad,2.9,Review score ,42,4.9,0,Standard Double Room,2 extra-large double beds,Free cancellation,1045.0,137.0,No prepayment needed
Hotel Shanti Nivas,Hyderabad,4.4,Review score ,37,4.2,0,Economy Double Room,2 single beds,Free cancellation,405.0,49.0,No prepayment needed
Maruti Residency,Hyderabad,3.1,Review score ,4,5.0,0,Deluxe Double Room (1 adult + 1 child),"25 beds (6 singles, 7 doubles, 8 extra-large doubles, 4 large doubles)",Not Free,1440.0,173.0,prepayment
Mango Suites Viera,Hyderabad,2.7,Review score ,2,6.5,0,Deluxe Double or Twin Room,2 single beds,Free cancellation,2600.0,468.0,No prepayment needed
Flagship Hotel Suhana Grand,Hyderabad,17.6,Review score ,47,4.7,3,Classic Triple Room,1 extra-large double bed,Free cancellation,715.0,98.0,No prepayment needed
Collection O THE CROWN HOTEL,Hyderabad,2.0,Review score ,18,3.9,1,Deluxe Triple Room,1 large double bed,Free cancellation,1484.0,194.0,No prepayment needed
Falcons Nest Lariviera,Hyderabad,5.7,Review score ,33,4.2,2,Economy Room,1 single bed,Free cancellation,2300.0,276.0,No prepayment needed
FabHotel Shakthi Suites,Bangalore,6.0,Good ,22,7.1,1,Deluxe Room,1 double bed,Free cancellation,1741.0,209.0,prepayment
Pphliving Fortune suites,Bangalore,4.0,No Review,0,0.0,0,Budget Double Room,1 extra-large double bed,Free cancellation,1283.0,154.0,No prepayment needed
Hotel Embassy,Bangalore,8.0,Review score ,311,6.8,0,Double Room,1 large double bed,Free cancellation,810.0,97.0,No prepayment needed
SPOT ON 36102 Akshara Regency,Bangalore,5.0,Review score ,37,6.0,0,Standard Double Room,1 large double bed,Free cancellation,698.0,100.0,No prepayment needed
The Chancery Hotel,Bangalore,0.25,Review score ,259,6.8,1,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Free cancellation,5500.0,660.0,prepayment
Villa Grand Hotel Near Kempegowda International Airport,Bangalore,1.0,Good ,134,7.9,0,Standard Double or Twin Room,1 double bed,Free cancellation,1913.0,229.0,No prepayment needed
Hotel Bangalore Airport Inn,Bangalore,5.0,Review score ,377,6.7,0,Standard Double Room with Fan,1 extra-large double bed,Free cancellation,1200.0,144.0,No prepayment needed
VOVO PREMIER HOTEL,Bangalore,7.0,Superb ,76,9.0,0,Deluxe Double Room,1 double bed,Free cancellation,1500.0,180.0,No prepayment needed
Taj Yeshwantpur Bengaluru,Bangalore,9.0,Fabulous ,845,8.7,3,Superior Double Room with City View,1 large double bed,Free cancellation,6500.0,780.0,prepayment
ibis Bengaluru City Centre - An Accor Brand,Bangalore,3.0,Good ,1855,7.4,2,Standard Queen Room,1 large double bed,Not Free,4500.0,540.0,prepayment
"Holiday Inn Bengaluru Racecourse, an IHG Hotel",Bangalore,6.0,Good ,1248,7.4,2,Superior Queen Room-Smoking,1 double bed,Not Free,5400.0,648.0,prepayment
The Chancery Pavilion,Bangalore,2.0,Review score ,509,6.6,0,Deluxe Room,1 large double bed,Free cancellation,5500.0,660.0,No prepayment needed
The Park Bangalore,Bangalore,9.0,Good ,1280,7.8,3,Deluxe Double Room,1 large double bed,Not Free,6800.0,816.0,prepayment
"Howard Johnson By Wyndham, Hebbal, Bengaluru",Bangalore,1.0,Good ,669,7.0,1,Deluxe King Room,1 large double bed,Free cancellation,4540.0,545.0,No prepayment needed
Vrishi Suites,Bangalore,2.0,Review score ,131,6.8,1,Deluxe Double or Twin Room,1 double bed,Free cancellation,1479.0,182.0,No prepayment needed
"Grand Regency Rajajinagar, Iskcon Temple - WTC",Bangalore,8.0,Very good ,30,8.1,3,Superior Double Room,Beds: 1 double or 2 singles,Free cancellation,2424.0,291.0,prepayment
Hyatt Centric MG Road Bangalore,Bangalore,2.0,Good ,1164,7.9,3,King Room,1 extra-large double bed,Free cancellation,7000.0,840.0,prepayment
The Signature Inn,Bangalore,4.0,Review score ,606,6.7,0,Budget Double Room - Non AC,1 double bed,Not Free,1013.0,121.0,prepayment
Astra Hotels - Marathahalli,Bangalore,8.0,Very good ,15,8.5,2,Superior King Room,1 extra-large double bed,Not Free,2236.0,268.0,prepayment
SM Royal Stay Hotel - Near Bangalore international Airport,Bangalore,6.0,Very good ,160,8.1,1,Standard Double Room,2 single beds,Free cancellation,1700.0,204.0,prepayment
PPH Living MS Comfort,Bangalore,6.0,Very good ,82,8.4,0,Economy Double Room,1 single bed,Free cancellation,863.0,103.0,prepayment
Collection O SLN Orchid Business Hotel,Bangalore,2.0,Review score ,15,5.9,0,Classic Triple Room,1 large double bed,Free cancellation,771.0,109.0,No prepayment needed
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Bangalore,6.0,Very good ,1375,8.2,3,Executive Club Room,1 large double bed,Free cancellation,9750.0,1755.0,No prepayment needed
ibis Bengaluru Hebbal - An Accor Brand,Bangalore,3.0,Good ,135,7.6,3,Standard Room with One Double Bed,1 double bed,Free cancellation,5500.0,660.0,prepayment
"Orange Corner, Near Kempegowda Bangalore international airport",Bangalore,4.0,Review score ,330,6.2,0,Standard Double Room,Multiple bed types,Free cancellation,1068.0,128.0,No prepayment needed
Habitat15@airlines,Bangalore,0.45,Fabulous ,87,8.7,2,Single Bed in 4-Bed Dormitory Room,Bed in dormitory1 single bed,Free cancellation,802.0,96.0,No prepayment needed
"Sri guru Raghavendra PG,",Bangalore,2.0,Review score ,5,4.8,0,Standard Double Room,"11 beds (1 single, 9 doubles, 1 large double)",Not Free,105.0,13.0,prepayment
Ayana tree royal Elevar,Bangalore,2.0,No Review,0,0.0,1,Double Room with Private Bathroom,1 extra-large double bed,Free cancellation,1104.0,132.0,No prepayment needed
"Svenska Design Hotel, Electronic City, Bangalore",Bangalore,6.0,Review score ,313,5.9,2,Superior Double Room,1 double bed,Free cancellation,3260.0,776.0,No prepayment needed
Nexstay Kites Inn,Bangalore,2.0,Very good ,113,8.0,0,SOLO ROOM,1 single bed,Free cancellation,1349.0,162.0,prepayment
Woody's,Bangalore,7.0,Review score ,19,6.9,0,Deluxe Double Room,1 extra-large double bed,Free cancellation,1965.0,236.0,No prepayment needed
Olive Richmond Circle - By Embassy Group,Bangalore,3.0,Fabulous ,351,8.8,0,Budget Double Room,1 large double bed,Free cancellation,2102.0,252.0,No prepayment needed
OYO Flagship BNS Lodge Near National College Basavanagudi,Bangalore,8.0,Review score ,3,1.0,0,Classic Triple Room,1 large double bed,Free cancellation,890.0,123.0,No prepayment needed
The Roy Grand Inns,Bangalore,5.0,Review score ,216,6.1,0,Double Room with Balcony,1 extra-large double bed,Free cancellation,949.0,114.0,No prepayment needed
Tulip Inn Koramangala,Bangalore,2.0,Good ,214,7.7,2,Deluxe Double Room,1 large double bed,Free cancellation,3700.0,444.0,No prepayment needed
The Hhi Select,Bangalore,8.0,Review score ,94,5.8,0,Standard Double Room,Beds: 1 double or 2 singles,Free cancellation,4724.0,567.0,No prepayment needed
Regenta Inn Bannerghatta Bangalore,Bangalore,9.0,Fabulous ,28,8.7,1,Double Room,1 extra-large double bed,Free cancellation,2808.0,337.0,No prepayment needed
"Holiday Inn Express Bengaluru Yeshwantpur, an IHG Hotel",Bangalore,8.0,Review score ,778,6.7,3,Superior Double or Twin Room-Non Smoking,1 double bed,Not Free,5364.0,644.0,prepayment
Fairfield by Marriott Bengaluru Rajajinagar,Bangalore,7.0,Review score ,482,6.9,2,Fairfield Twin Room,1 extra-large double bed,Free cancellation,5600.0,672.0,No prepayment needed
SPOT ON 74229 Hotel Thirumala Landmark,Bangalore,4.0,Exceptional ,1,10.0,0,Standard Double Room,1 large double bed,Free cancellation,681.0,98.0,No prepayment needed
Days Inn & Suites by Wyndham Bengaluru Whitefield,Bangalore,6.0,Good ,120,7.1,2,Queen Room with Balcony,1 large double bed,Not Free,2564.0,308.0,prepayment
Hotel Sigma Suites,Bangalore,8.0,Good ,136,7.9,0,Deluxe Double Room,1 large double bed,Free cancellation,1080.0,130.0,No prepayment needed
Le Foliage by TGI,Bangalore,7.0,Good ,50,7.4,0,Executive Double Room,1 single bed,Free cancellation,3150.0,378.0,No prepayment needed
Narthaki Boutique Hotel,Bangalore,7.0,Good ,25,7.7,0,Twin Room,1 double bed,Free cancellation,1359.0,163.0,No prepayment needed
OYO Flagship 81483 Manyatha Inn Service Apartment,Bangalore,3.0,Review score ,3,6.7,0,Standard Double Room,1 large double bed,Free cancellation,483.0,74.0,No prepayment needed
Ginger Bangalore- Whitefield,Bangalore,7.0,Review score ,145,6.5,1,Luxe Solo,1 single bed,Free cancellation,3300.0,396.0,prepayment
MG ROAD ONE,Bangalore,2.0,Good ,122,7.3,3,Deluxe Double or Twin Room,1 double bed,Not Free,2486.0,298.0,prepayment
Click Hotel Bangalore - International Airport,Bangalore,5.0,Very good ,792,8.3,3,Deluxe Double or Twin Room,Multiple bed types,Free cancellation,3240.0,389.0,prepayment
Collection O G Silver Polonest,Bangalore,7.0,Superb ,4,9.0,0,Classic Triple Room,1 large double bed,Free cancellation,1557.0,203.0,No prepayment needed
Ramada Encore Domlur Bangalore,Bangalore,9.0,Very good ,484,8.1,3,Deluxe Queen Room,1 large double bed,Free cancellation,6000.0,720.0,prepayment
Olive Indiranagar - By Embassy Group,Bangalore,8.0,Good ,1093,7.6,1,Budget Double Room,1 large double bed,Free cancellation,1850.0,222.0,No prepayment needed
Liwa Habitat,Bangalore,3.0,Very good ,105,8.2,0,Executive Single Room,1 single bed,Free cancellation,2070.0,248.0,prepayment
Taj MG Road Bengaluru,Bangalore,2.0,Fabulous ,807,8.7,3,Deluxe Room City View  King Bed,1 extra-large double bed,Free cancellation,12000.0,2160.0,prepayment
Click Hotel DBR,Bangalore,6.0,Review score ,106,6.5,2,Standard King Room,Multiple bed types,Free cancellation,2376.0,285.0,No prepayment needed
Hello Inn hotels,Bangalore,5.0,Superb ,23,9.0,0,Double Room,1 extra-large double bed,Free cancellation,2160.0,259.0,No prepayment needed
Grand Choice,Bangalore,7.0,Review score ,103,5.5,0,Deluxe Room,1 double bed,Free cancellation,899.0,108.0,No prepayment needed
"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru",Bangalore,6.0,Very good ,2069,8.2,3,Deluxe Double Room,1 large double bed,Free cancellation,9200.0,1656.0,No prepayment needed
ibis Bengaluru Hosur Road - An Accor Brand,Bangalore,9.0,Good ,773,7.5,2,Standard Queen Room,1 large double bed,Free cancellation,4500.0,540.0,No prepayment needed
Hotel Grand Meridian,Bangalore,2.0,Review score ,77,6.8,0,Deluxe Room,1 single bed,Free cancellation,1350.0,162.0,prepayment
Royal N Deluxe,Bangalore,1.0,Good ,81,7.6,0,Deluxe Double Room,1 large double bed,Free cancellation,1620.0,194.0,No prepayment needed
Radiant Resort,Bangalore,15.0,Review score ,135,6.8,0,Deluxe Double or Twin Room with Fan,Beds: 1 double or 2 singles,Free cancellation,3420.0,410.0,prepayment
"Country Inn & Suites By Radisson, Bengaluru Hebbal Road",Bangalore,4.0,Review score ,576,6.3,2,Superior Room,1 double bed,Free cancellation,4500.0,540.0,No prepayment needed
THE EKAH COMFORTS,Bangalore,1.0,Good ,141,7.9,0,Deluxe Double Room with Balcony,"2 beds (1 large double, 1 futon)",Free cancellation,1607.0,193.0,No prepayment needed
The Waverly Hotel & Residences,Bangalore,4.0,Review score ,151,6.4,0,The Waverly Room,1 extra-large double bed,Free cancellation,5850.0,702.0,prepayment
Olive Rest House Road by Embassy Group,Bangalore,6.0,Review score ,435,6.9,0,Standard Queen Room,1 large double bed,Free cancellation,1903.0,228.0,No prepayment needed
Ivory Tower,Bangalore,0.45,Very good ,47,8.4,0,Executive Suite,Private suite • 1 bedroom • 1 living room • 1 bathroom • 46m²2 large double beds,Not Free,5452.0,654.0,prepayment
WEST FORT HOTEL,Bangalore,1.0,Good ,79,7.5,0,Superior Double or Twin Room,1 large double bed,Free cancellation,2720.0,326.0,No prepayment needed
RK - Inn Premium Suites,Bangalore,7.0,Good ,65,7.6,0,Family Room with Balcony,1 extra-large double bed,Free cancellation,2000.0,240.0,prepayment
Hotel leela park,Bangalore,2.0,Good ,1,7.0,0,Twin Room,"2 beds (1 single, 1 double)",Free cancellation,1230.0,148.0,No prepayment needed
