Hotel Name,City,Distance from Centre (in km),Review (in words),Number of Reviews,Rating (out of 10),Level of sustainability,Type of Room,Type of Bed,Type of Cancellation,Cost,Taxes and charges,Type of Payment
AY Plus Hotels,Pune,9.0,Good ,84,7.9,0,Standard Double Room,1 double bed,Free cancellation,1500.0,180.0,No prepayment needed
"Vivanta Pune, Hinjawadi",Pune,4.2,Very good ,569,8.1,3,Deluxe King Room with City View,1 extra-large double bed,Free cancellation,9000.0,1620.0,No prepayment needed
Treebo Trend Comfort Inn,Pune,0.2,Good ,32,7.7,1,Standard Double Room,1 extra-large double bed,Free cancellation,3992.0,479.0,No prepayment needed
FabExpress Galaxy Hospitality,Pune,9.7,No Review,0,0.0,1,Deluxe Room,1 double bed,Free cancellation,800.0,96.0,prepayment
Hotel Dreamland,Pune,2.2,Good ,337,7.9,0,Standard Non AC,2 single beds,Free cancellation,1800.0,216.0,No prepayment needed
Quality Inn Mint,Pune,2.6,Very good ,61,8.5,0,Deluxe Double Room,1 double bed,Free cancellation,3000.0,360.0,prepayment
Treebo Trend Iris Suites,Pune,7.3,Review score ,320,6.8,0,Standard Double Room,1 double bed,Free cancellation,2964.0,356.0,No prepayment needed
Hotel Ketan,Pune,1.7,Very good ,124,8.1,2,Deluxe Room - AC,1 extra-large double bed,Free cancellation,6150.0,738.0,prepayment
HOTEL INDUS INN,Pune,3.9,Fabulous ,5,8.8,3,Deluxe Single Room,1 single bed,Not Free,2220.0,266.0,prepayment
Lemon Tree Premier City Center Pune,Pune,2.3,Good ,473,7.1,2,Business Double or Twin Room,1 large double bed,Free cancellation,8050.0,2400.0,prepayment
Ginger Pune - Wakad,Pune,4.6,Review score ,335,5.9,2,Standard Room,1 double bed,Free cancellation,3000.0,360.0,prepayment
FabHotel Woods Regency,Pune,1.1,Good ,21,7.8,3,Deluxe Room,1 double bed,Free cancellation,1600.0,192.0,prepayment
Treebo Trend Atithi Comforts Inn,Pune,9.6,Good ,8,7.9,1,Deluxe Double Room,1 extra-large double bed,Free cancellation,1848.0,222.0,No prepayment needed
Hotel Gandharva Shivajinagar,Pune,0.9,Good ,216,7.2,0,Deluxe Room,1 double bed,Free cancellation,3150.0,378.0,prepayment
Backpackers hostel,Pune,7.6,Good ,230,7.8,1,Bed in 4-Bed Female Dormitory Room,Bed in dormitory1 bunk bed,Not Free,324.0,39.0,prepayment
Clarks Collection Pune,Pune,2.0,No Review,0,0.0,0,Deluxe Room,1 double bed,Free cancellation,3500.0,420.0,No prepayment needed
